person_id,effective_time_frame,sensor_id,heart_rate/value,heart_rate/unit
a123djvbvh23fv4vfd5,1509354824,heart-rate,63.043496192937255,beats/min
a123djvbvh23fv4vfd5,1509354844,heart-rate,83.9217242630147,beats/min
a123djvbvh23fv4vfd5,1509354864,heart-rate,82.89924319938383,beats/min
a123djvbvh23fv4vfd5,1509354884,heart-rate,81.67409725256563,beats/min
a123djvbvh23fv4vfd5,1509354904,heart-rate,78.84610109026256,beats/min
a123djvbvh23fv4vfd5,1509354924,heart-rate,95.31132478867147,beats/min
a123djvbvh23fv4vfd5,1509354944,heart-rate,91.50042243986695,beats/min
a123djvbvh23fv4vfd5,1509354964,heart-rate,87.30457303040045,beats/min
a123djvbvh23fv4vfd5,1509354984,heart-rate,70.2785960066743,beats/min
a123djvbvh23fv4vfd5,1509355004,heart-rate,69.32402343252852,beats/min
a123djvbvh23fv4vfd5,1509355024,heart-rate,79.13251177623668,beats/min
a123djvbvh23fv4vfd5,1509355044,heart-rate,89.20859876747392,beats/min
a123djvbvh23fv4vfd5,1509355064,heart-rate,69.97019644329058,beats/min
a123djvbvh23fv4vfd5,1509355084,heart-rate,77.98995801361706,beats/min
a123djvbvh23fv4vfd5,1509355104,heart-rate,73.32545836535066,beats/min
a123djvbvh23fv4vfd5,1509355124,heart-rate,67.82523135294542,beats/min
a123djvbvh23fv4vfd5,1509355144,heart-rate,88.08469380397932,beats/min
a123djvbvh23fv4vfd5,1509355164,heart-rate,62.28590497760072,beats/min
a123djvbvh23fv4vfd5,1509355184,heart-rate,91.85087245962688,beats/min
a123djvbvh23fv4vfd5,1509355204,heart-rate,93.07461972289919,beats/min
a123djvbvh23fv4vfd5,1509355224,heart-rate,82.36308004988076,beats/min
a123djvbvh23fv4vfd5,1509355244,heart-rate,70.22940581467702,beats/min
a123djvbvh23fv4vfd5,1509355264,heart-rate,98.75002752993474,beats/min
a123djvbvh23fv4vfd5,1509355284,heart-rate,82.27821583302338,beats/min
a123djvbvh23fv4vfd5,1509355304,heart-rate,75.59178225252795,beats/min
a123djvbvh23fv4vfd5,1509355324,heart-rate,75.25515774382357,beats/min
a123djvbvh23fv4vfd5,1509355344,heart-rate,93.61200844994202,beats/min
a123djvbvh23fv4vfd5,1509355364,heart-rate,94.31589007189595,beats/min
a123djvbvh23fv4vfd5,1509355384,heart-rate,76.66067944039169,beats/min
a123djvbvh23fv4vfd5,1509355404,heart-rate,71.4411745331082,beats/min
a123djvbvh23fv4vfd5,1509355424,heart-rate,82.7886742862839,beats/min
a123djvbvh23fv4vfd5,1509355444,heart-rate,77.27013461442826,beats/min
a123djvbvh23fv4vfd5,1509355464,heart-rate,89.10181551817051,beats/min
a123djvbvh23fv4vfd5,1509355484,heart-rate,67.07258891513075,beats/min
a123djvbvh23fv4vfd5,1509355504,heart-rate,99.14907108418933,beats/min
a123djvbvh23fv4vfd5,1509355524,heart-rate,84.70379795169467,beats/min
a123djvbvh23fv4vfd5,1509355544,heart-rate,78.10575549153894,beats/min
a123djvbvh23fv4vfd5,1509355564,heart-rate,80.68383094904834,beats/min
a123djvbvh23fv4vfd5,1509355584,heart-rate,64.4766889832185,beats/min
a123djvbvh23fv4vfd5,1509355604,heart-rate,70.3079522017452,beats/min
a123djvbvh23fv4vfd5,1509355624,heart-rate,100.57994675508161,beats/min
a123djvbvh23fv4vfd5,1509355644,heart-rate,92.17095316428838,beats/min
a123djvbvh23fv4vfd5,1509355664,heart-rate,77.32458075876684,beats/min
a123djvbvh23fv4vfd5,1509355684,heart-rate,75.16927202830358,beats/min
a123djvbvh23fv4vfd5,1509355704,heart-rate,72.29132720340706,beats/min
a123djvbvh23fv4vfd5,1509355724,heart-rate,84.37675184650033,beats/min
a123djvbvh23fv4vfd5,1509355744,heart-rate,76.53192225807769,beats/min
a123djvbvh23fv4vfd5,1509355764,heart-rate,80.60371785872715,beats/min
a123djvbvh23fv4vfd5,1509355784,heart-rate,86.48739620584404,beats/min
a123djvbvh23fv4vfd5,1509355804,heart-rate,89.42546588313014,beats/min
a123djvbvh23fv4vfd5,1509355824,heart-rate,104.56032045856013,beats/min
a123djvbvh23fv4vfd5,1509355844,heart-rate,67.55079218387893,beats/min
a123djvbvh23fv4vfd5,1509355864,heart-rate,87.58811987850288,beats/min
a123djvbvh23fv4vfd5,1509355884,heart-rate,78.37537766585932,beats/min
a123djvbvh23fv4vfd5,1509355904,heart-rate,77.98872681151128,beats/min
a123djvbvh23fv4vfd5,1509355924,heart-rate,61.60754204693631,beats/min
a123djvbvh23fv4vfd5,1509355944,heart-rate,65.52390239943934,beats/min
